Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Belgium,Import,  All Products,Import (US$ Thousand),3701626.759,3238501.009,2485654.656,3566101.287,3827901.079,4388396.371,5164388.171,4159803.474,4859263.98,5262434.37,5499046.533,7445630.025,10349754.177,10244337.854,10071885.218,11293119.145,8337646.131,7479921.914,5954965.904940899,11242178.576483998,9354387.95205395,6623541.7384140305,9561021.61166422
India,Belize,Import,  All Products,Import (US$ Thousand),,,1.958,43.852,455.165,9.812,15.431,5665.62,200.615,12438.791,65.733,515.17,103.148,170.751,217.863,1566.698,447.574,385.8,1329.44919880932,908.74618500672,845.29276703375,648.7950713985,419.2553237496
India,Benin,Import,  All Products,Import (US$ Thousand),42977.797,54656.28,43394.276,36667.464,53266.904,68480.553,85899.363,76789.759,71060.011,118154.522,116957.175,139874.223,280725.605,258734.819,178215.879,213128.309,278108.445,207538.992,209712.435106227,398445.396527499,333349.400850665,356367.96957441303,364552.84035543003
India,Bermuda,Import,  All Products,Import (US$ Thousand),,,276.282,,,244.251,1112.274,561.556,163.121,227.008,64920.969,82.159,0.178,14.441,40.035,94.555,0.319,2.068,14.767274671200001,17.32482993136,7583.92710260325,,43.22040132555
India,Bhutan,Import,  All Products,Import (US$ Thousand),18111.848,18330.761,23314.041,24855.689,52813.144,50910.455,100065.666,116287.462,202117.388,159772.892,140890.213,185690.284,205678.289,169271.746,137064.182,144346.027,195022.126,127330.122,206991.353077846,305979.56185979804,249280.789371093,184247.12348089297,343849.896738482
India,Bolivia,Import,  All Products,Import (US$ Thousand),42.217,10199.882,6333.298,1039.059,1840.739,704.647,537.937,2321.084,3655.677,5911.092,4589.323,5871.829,5408.698,3331.501,6393.402,2137.441,190762.763,128254.474,596772.472343044,905669.84674884,798151.934972774,1015853.73521436,1962132.2764353498
India,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),14.109,303.928,113.672,2039.713,3250.823,203.717,131.985,569.626,10561.29,1823.119,1286.227,1116.507,34127.839,21521.083,2584.767,4255.24,3548.645,3785.7,7569.86622728571,5071.30624807248,2204.63736212475,2637.0619051418003,2776.07489160105
India,Botswana,Import,  All Products,Import (US$ Thousand),,,1.434,6.325,47.735,165.433,393.719,34.652,22.021,20851.615,4964.332,26424.705,36865.175,65372.058,190629.237,1045968.262,564720.723,1000775.072,1746148.0569047502,1343609.6060030998,782198.1797784839,469013.12318108795,601073.860066139
India,Brazil,Import,  All Products,Import (US$ Thousand),332706.761,180127.5,270996.242,339284.717,312719.731,662452.62,883162.565,954397.115,877711.137,1159829.655,2897270.99,3220988.263,3735150.796,5394579.612,3831840.603,5544022.62,4107796.561,3614718.445,5104464.2506378,5616203.19267337,3042273.743604,3194991.21380919,4928496.54780778
India,British Virgin Islands,Import,  All Products,Import (US$ Thousand),0.567,,,88.481,0.02,1.201,120.152,19022.726,292.121,329.954,145.63,678.817,579.582,693.849,308.992,628.734,574.441,7884.733,542.7082711629901,16021.5658549258,8576.40800481675,10159.7840699886,17169.9739847702
