Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Bangladesh,Export,  All Products,Export (US$ Thousand),639999.072,775716.511,1063045.606,1025501.793,1652973.207,1613026.886,1719788.65,1667809.399,2063793.277,3243375.89,2177375.137,3016574.705,3405515.54,4936672.398,5993949.592,6255234.93,5521517.617,5668792.841,7210099.516900931,8739349.24333243,8242923.36668904,7912820.545213589,14092748.0876706
India,Barbados,Export,  All Products,Export (US$ Thousand),3584.371,4322.303,1014.334,2570.421,1281.284,1236.061,2544.424,2647.681,2234.614,3713.345,4036.06,5052.298,7002.691,6494.767,6656.58,9416.247,9826.413,13278.055,12017.6163735334,12132.1147074077,13256.5224508798,10410.4929870776,14204.937040475801
India,Belarus,Export,  All Products,Export (US$ Thousand),2371.564,3805.313,2428.7,4882.542,6489.444,8628.7,12577.35,14307.214,18411.807,29072.712,42171.738,29790.913,127180.17,56684.067,58196.603,51090.016,34250.564,41860.424,44836.893567841296,55905.7022944324,56036.089316639605,58922.0653049632,71092.02050597369
India,Belgium,Export,  All Products,Export (US$ Thousand),1343882.257,1428802.563,1400853.413,1618596.199,1774780.86,2212858.71,2788429.474,3326620.567,4037574.589,4717944.168,3550974.446,5025884.875,7395367.496,5558479.851,6855062.831,5894950.519,5005521.153,5356387.093,6219889.93200319,6805936.25553814,6184548.447246781,4565324.1047820905,9055695.032355819
India,Belize,Export,  All Products,Export (US$ Thousand),430.309,894.532,193.195,558.84,2583.136,1087.978,2471.026,1794.762,1777.028,6843.666,1881.281,10847.404,24103.264,24480.914,25898.669,23109.94,15829.695,15167.501,14763.7451610681,14265.922957536,16298.1629910415,9398.857653702718,13178.527574635002
India,Benin,Export,  All Products,Export (US$ Thousand),28533.296,41076.746,51006.18,61978.738,61158.454,40736.453,90995.529,135208.788,219949.431,244255.285,195962.451,262333.412,602439.105,432552.215,875357.601,529631.053,407592.946,440621.41,483565.78102652595,384008.68731074,418363.80171554704,440497.78589864,608322.020726004
India,Bermuda,Export,  All Products,Export (US$ Thousand),688.93,532.224,479.475,293.716,290.197,777.521,372.87,746.675,950.704,701.186,930.246,891.111,967.503,1298.683,2249.098,3115.591,2345.159,4049.57,3457.77407081394,3166.3472353806796,2453.7170825829303,3160.21920451904,6054.575443100401
India,Bhutan,Export,  All Products,Export (US$ Thousand),7618.641,1087.003,5965.033,23119.47,84919.382,87006.3,95127.99,63804.763,70837.989,106121.651,108475.574,159214.611,219076.985,170757.632,161666.858,200365.954,375222.536,374212.669,401677.298041854,652428.899318477,694305.4432419899,623079.42447761,867703.5367156039
India,Bolivia,Export,  All Products,Export (US$ Thousand),834.777,1749.827,1299.683,1868.089,2362.404,4798.389,5691.293,6381.415,6626.807,9500.817,8328.278,13539.183,21885.265,49088.88,57460.697,68422.574,75647.695,71404.083,98618.332156848,99557.6279393281,121006.297944682,84954.9913043742,133657.131047086
India,Bosnia and Herzegovina,Export,  All Products,Export (US$ Thousand),283.367,129.14,1071.694,2525.758,1976.969,4034.135,1171.886,2093.571,4240.498,5096.123,3608.76,2397.958,5146.866,6300.692,11076.606,18107.421,17898.487,16690.41,13245.1037269147,17149.4231184458,15847.604963095,14059.2122941045,17121.2981485052
